S.No.175,Name of the customer,Place,Inv. No.,Inv. Date,DAYS OF INVOICE,Invoice Value,Amount Pending,PAYMENT RECIEVED DATE,Remarks,STATUS,,
83,SAI SREE ENTERPRISES,AP-TS INSTITUTIONAL,OE/22-23/0083,5/14/2022,1152,131500.00,131500.00,,,N,,
87,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0087,5/17/2022,1149,155000.00,155000.00,,,N,,
88,SRI KRISHNAVENI POULTRY NEEDS,VIJAYAWADA,OE/22-23/0088,5/17/2022,1149,44957.00,44957.00,,,N,,
93,SURESH POULTRIES,VIJAYAWADA,OE/22-23/0093,5/21/2022,1145,11400.00,11400.00,,,N,,
94,SRINIVASA POULTRY MEDICALS,TANUKU,OE/22-23/0094,5/21/2022,1145,110400.00,110400.00,,,N,,
95,SRI TIRUMALA PHARMA,RM-HYDERABAD,OE/22-23/0095,5/22/2022,1144,26500.00,26500.00,,,N,,
96,SRI RAMA POULTRIES,TANUKU,OE/22-23/0096,5/23/2022,1143,120000.00,120000.00,,,N,,
97,Prasanthi Agritech Pvt Ltd,RM-HYDERABAD,OE/22-23/0097,5/24/2022,1142,5675.00,5675.00,,,N,,
98,Prasanthi Breeders Pvt Ltd,RM-HYDERABAD,OE/22-23/0098,5/24/2022,1142,5675.00,5675.00,,,N,,
99,Prasanthi Hatcheries Pvt Ltd,RM-HYDERABAD,OE/22-23/0099,5/24/2022,1142,5675.00,5675.00,,,N,,
100,NAGALAKSHMI POULTRY MEDICAL AGENCIES,SHADNAGAR,OE/22-23/0100,5/25/2022,1141,62216.00,62216.00,,,N,,
101,INDBRO RESEARCH & BREEDING FARMS PVT. LTD,RM-HYDERABAD,OE/22-23/0101,5/26/2022,1140,52300.00,52300.00,,,N,,
102,Vijayadurga Poultries,TANUKU,OE/22-23/0102,5/26/2022,1140,72000.00,72000.00,,,N,,
103,Ramreddy Poultry Farms,SHADNAGAR,OE/22-23/0103,5/27/2022,1139,110000.00,110000.00,,,N,,
104,RAMALINGESHWARA POULTRY FARMS,KARIMNAGAR,OE/22-23/0104,5/28/2022,1138,111989.00,111989.00,,,N,,
105,SASIDHAR POULTRIES PVT LTD,TANUKU,OE/22-23/0105,5/28/2022,1138,114000.00,114000.00,,,N,,
106,Prasanthi Agritech Pvt Ltd,RM-HYDERABAD,OE/22-23/0106,5/31/2022,1135,5675.00,5675.00,,,N,,
107,Prasanthi Breeders Pvt Ltd,RM-HYDERABAD,OE/22-23/0107,5/31/2022,1135,5675.00,5675.00,,,N,,
108,Prasanthi Breeding Farms Pvt Ltd,RM-HYDERABAD,OE/22-23/0108,5/31/2022,1135,5675.00,5675.00,,,N,,
109,Prasanthi Hatcheries Pvt Ltd,RM-HYDERABAD,OE/22-23/0109,5/31/2022,1135,5675.00,5675.00,,,N,,
110,RADHA MADHAV AGENCIES,ANAPARTHY,OE/22-23/0110,5/31/2022,1135,274000.00,274000.00,,,N,,
111,SASIDHAR POULTRIES PVT LTD,TANUKU,OE/22-23/0111,5/31/2022,1135,190000.00,190000.00,,,N,,
113,RADHA MADHAV AGENCIES,ANAPARTHY,OE/22-23/0113,5/31/2022,1135,170000.00,170000.00,,,N,,
114,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0114,6/2/2022,1133,170000.00,170000.00,,,N,,
